ExhibitionTitle,ExhibitionBeginDate,ExhibitionURL,DisplayName,Nationality,Gender
44 Drawings: Recent Acquisitions,9/6/1965,http://www.moma.org/calendar/exhibitions/3472,William S. Lieberman,American,Male
Robert Motherwell,10/1/1965,http://www.moma.org/calendar/exhibitions/2920,Frank O'Hara,American,Male
The School of Paris: Paintings from the Florence May Schoenborn and Samuel A. Marx Collection,11/2/1965,http://www.moma.org/calendar/exhibitions/2838,Monroe Wheeler,American,Male
Sculpture in Glass,11/16/1965,http://www.moma.org/calendar/exhibitions/3477,"Alfred H. Barr, Jr.",American,Male
Around the Automobile,12/9/1965,http://www.moma.org/calendar/exhibitions/1993,Dorothy C. Miller,American,Female
Chasubles Designed by Henri Matisse,12/18/1965,http://www.moma.org/calendar/exhibitions/3478,Arthur Drexler,American,Male
Rauschenberg: 34 Drawings for Dante's Inferno,12/21/1965,http://www.moma.org/calendar/exhibitions/2039,William S. Lieberman,American,Male
Frederick J. Kiesler,12/31/1965,http://www.moma.org/calendar/exhibitions/3480,Frederick Kiesler,American,Male
The Hampton Album,1/11/1966,http://www.moma.org/calendar/exhibitions/3481,John Szarkowski,American,Male
Dorothea Lange,1/26/1966,http://www.moma.org/calendar/exhibitions/3483,John Szarkowski,American,Male
Mies van der Rohe: Architectural Drawings from the Collection,2/2/1966,http://www.moma.org/calendar/exhibitions/2570,Arthur Drexler,American,Male
Paul J. Sachs Gallery Print Re-installation,3/3/1966,http://www.moma.org/calendar/exhibitions/3484,Ivan Le Lorraine Albright,American,Male
The Architecture of Louis I. Kahn,4/26/1966,http://www.moma.org/calendar/exhibitions/2575,Arthur Drexler,American,Male
The Career of an Actress: Sophia Loren,5/18/1966,http://www.moma.org/calendar/exhibitions/2576,Willard Van Dyke,American,Male
Nakian,6/22/1966,http://www.moma.org/calendar/exhibitions/2577,Frank O'Hara,American,Male
Villa Savoye: Destruction through Neglect,7/2/1966,http://www.moma.org/calendar/exhibitions/2578,Arthur Drexler,American,Male
Bruce Davidson,7/7/1966,http://www.moma.org/calendar/exhibitions/2579,John Szarkowski,American,Male
Henri Matisse: 64 Paintings,7/19/1966,http://www.moma.org/calendar/exhibitions/1867,Monroe Wheeler,American,Male
20 Drawings: New Acquisitions,8/2/1966,http://www.moma.org/calendar/exhibitions/2580,William S. Lieberman,American,Male
London/New York/Hollywood: A New Look in Prints,9/13/1966,http://www.moma.org/calendar/exhibitions/1726,William S. Lieberman,American,Male
"Walker Evans' Subway, 1938–1941",10/5/1966,http://www.moma.org/calendar/exhibitions/2582,John Szarkowski,American,Male
The Action Still,10/6/1966,http://www.moma.org/calendar/exhibitions/2583,Willard Van Dyke,American,Male
The New Japanese Painting and Sculpture,10/19/1966,http://www.moma.org/calendar/exhibitions/2584,William S. Lieberman,American,Male
Americans Today: 25 Painters as Printmakers,11/1/1966,http://www.moma.org/calendar/exhibitions/2586,William S. Lieberman,American,Male
Drawings from the Museum Collection,10/31/1966,http://www.moma.org/calendar/exhibitions/2587,Rodolfo Abularach,Guatemalan,Male
Chagall: Aleko,12/14/1966,http://www.moma.org/calendar/exhibitions/2589,William S. Lieberman,American,Male
From the McAlpin Collection,12/14/1966,http://www.moma.org/calendar/exhibitions/2590,John Szarkowski,American,Male
The Taste of a Connoisseur: The Paul J. Sachs Collection,12/21/1966,http://www.moma.org/calendar/exhibitions/2592,William S. Lieberman,American,Male
Recent Acquisitions: Five European Painters,12/23/1966,http://www.moma.org/calendar/exhibitions/1899,Karel Appel,Dutch,Male
The New City: Architecture and Urban Renewal,1/24/1967,http://www.moma.org/calendar/exhibitions/2593,Arthur Drexler,American,Male
Calder: 19 Gifts from the Artist,2/1/1967,http://www.moma.org/calendar/exhibitions/1930,Dorothy C. Miller,American,Female
Jerry N. Uelsmann,2/15/1967,http://www.moma.org/calendar/exhibitions/2594,John Szarkowski,American,Male
New Documents,2/28/1967,http://www.moma.org/calendar/exhibitions/3487,John Szarkowski,American,Male
A European Experiment,4/26/1967,http://www.moma.org/calendar/exhibitions/2602,John Szarkowski,American,Male
Canada '67,5/2/1967,http://www.moma.org/calendar/exhibitions/1864,Riva Castleman,American,Female
Habitat,6/1/1967,http://www.moma.org/calendar/exhibitions/2596,Arthur Drexler,American,Male
Guernica: Studies and Postscripts,6/2/1967,http://www.moma.org/calendar/exhibitions/2601,"Alfred H. Barr, Jr.",American,Male
Drawings: Recent Acquisitions,6/26/1967,http://www.moma.org/calendar/exhibitions/2600,William S. Lieberman,American,Male
Stills from the Czechoslovak Film Festival,6/14/1967,http://www.moma.org/calendar/exhibitions/2604,Willard Van Dyke,American,Male
Once Invisible,6/20/1967,http://www.moma.org/calendar/exhibitions/2599,John Szarkowski,American,Male
The 1960s: Painting and Sculpture from the Museum Collection,6/28/1967,http://www.moma.org/calendar/exhibitions/1944,Dorothy C. Miller,American,Female
Photography: Recent Acquisitions,7/21/1967,http://www.moma.org/calendar/exhibitions/2598,Frederick H. Evans,British,Male
Architectural Fantasies: Drawings from the Museum Collection,7/27/1967,http://www.moma.org/calendar/exhibitions/1776,Arthur Drexler,American,Male
Recent Acquisitions: Design Collection,9/27/1967,http://www.moma.org/calendar/exhibitions/2606,Arthur Drexler,American,Male
The Sculpture of Picasso,10/11/1967,http://www.moma.org/calendar/exhibitions/1905,Roland Penrose,British,Male
Prints by Picasso: A Selection from 60 Years,10/11/1967,http://www.moma.org/calendar/exhibitions/1827,William S. Lieberman,American,Male
Ray K. Metzker,10/25/1967,http://www.moma.org/calendar/exhibitions/3491,John Szarkowski,American,Male
Steichen Gallery Reinstallation,10/25/1967,http://www.moma.org/calendar/exhibitions/2609,Berenice Abbott,American,Female
Five Sculptures from the Museum Collection,1/8/1968,http://www.moma.org/calendar/exhibitions/2925,Roger Bolomey,American,Male
The Sidney and Harriet Janis Collection,1/17/1968,http://www.moma.org/calendar/exhibitions/1886,Dorothy C. Miller,American,Female
Ben Schultz Memorial Exhibition,2/9/1968,http://www.moma.org/calendar/exhibitions/3494,John Szarkowski,American,Male
The York House Exhibition,2/28/1968,http://www.moma.org/calendar/exhibitions/3495,Arthur Drexler,American,Male
Manhattan Observed,3/22/1968,http://www.moma.org/calendar/exhibitions/3497,William S. Lieberman,American,Male
"Dada, Surrealism and their Heritage",3/27/1968,http://www.moma.org/calendar/exhibitions/1884,William S. Rubin,American,Male
Cézanne to Miró,4/23/1968,http://www.moma.org/calendar/exhibitions/1981,Monroe Wheeler,American,Male
Christo Wraps the Museum,6/5/1968,http://www.moma.org/calendar/exhibitions/3499,William S. Rubin,American,Male
Recent Czech and Polish Posters,6/10/1968,http://www.moma.org/calendar/exhibitions/3500,Arthur Drexler,American,Male
James Stirling: Three University Buildings,6/11/1968,http://www.moma.org/calendar/exhibitions/3501,Arthur Drexler,American,Male
Cartier-Bresson,6/25/1968,http://www.moma.org/calendar/exhibitions/2259,John Szarkowski,American,Male
My European Trip: Photographs from the Car by Joel Meyerowitz,8/3/1968,http://www.moma.org/calendar/exhibitions/2611,John Szarkowski,American,Male
Jean Dubuffet at the Museum of Modern Art,10/2/1968,http://www.moma.org/calendar/exhibitions/2783,William S. Lieberman,American,Male
Memorial to Six Million Jewish Martyrs,10/17/1968,http://www.moma.org/calendar/exhibitions/2726,Louis I. Kahn,American,Male
Tribute to Marcel Duchamp,10/22/1968,http://www.moma.org/calendar/exhibitions/2825,Marcel Duchamp,American,Male
Brassaï,10/29/1968,http://www.moma.org/calendar/exhibitions/2614,John Szarkowski,American,Male
Career of an Actor: Anthony Quinn,11/7/1968,http://www.moma.org/calendar/exhibitions/2615,Willard Van Dyke,American,Male
Eastern Kentucky and San Francisco: Photographs by William Gedney,12/17/1968,http://www.moma.org/calendar/exhibitions/2616,John Szarkowski,American,Male
Julio Gonzalez,1/21/1969,http://www.moma.org/calendar/exhibitions/3505,William S. Lieberman,American,Male
Function Without Form: Two Models for an Undesignable City,3/1/1969,http://www.moma.org/calendar/exhibitions/2620,Arthur Drexler,American,Male
August Sander (1876–1964),3/14/1969,http://www.moma.org/calendar/exhibitions/2619,Gary Metz,American,Male
Kandinsky Watercolors,4/1/1969,http://www.moma.org/calendar/exhibitions/2618,William S. Lieberman,American,Male
Homage to Ben Shahn,4/2/1969,http://www.moma.org/calendar/exhibitions/3506,Ben Shahn,American,Male
Painting for City Walls,4/17/1969,http://www.moma.org/calendar/exhibitions/2728,Arthur Drexler,American,Male
Twentieth-Century Art from the Nelson Aldrich Rockefeller Collection,5/28/1969,http://www.moma.org/calendar/exhibitions/1992,Dorothy C. Miller,American,Female
Five Recent Acquisitions,6/25/1969,http://www.moma.org/calendar/exhibitions/1938,Larry Bell,American,Male
Portrait Photographs,7/9/1969,http://www.moma.org/calendar/exhibitions/2624,Gary Metz,American,Male
Lucas Samaras: Book,8/4/1969,http://www.moma.org/calendar/exhibitions/2625,Riva Castleman,American,Female
Ludwig Mies van der Rohe Memorial,8/25/1969,http://www.moma.org/calendar/exhibitions/2627,Ludwig Mies van der Rohe,American,Male
Bill Brandt,9/15/1969,http://www.moma.org/calendar/exhibitions/3511,John Szarkowski,American,Male
Yugoslavia: A Report,9/29/1969,http://www.moma.org/calendar/exhibitions/3512,Riva Castleman,American,Female
George Grosz: Watercolors and Drawings,10/1/1969,http://www.moma.org/calendar/exhibitions/1890,William S. Lieberman,American,Male
Garry Winogrand: The Animals,10/24/1969,http://www.moma.org/calendar/exhibitions/1988,Garry Winogrand,American,Male
Recent Acquisitions: Painting and Sculpture III,10/24/1969,http://www.moma.org/calendar/exhibitions/3514,Jo Baer,American,Female
Matisse: Memory of Oceania,11/19/1969,http://www.moma.org/calendar/exhibitions/1983,William S. Rubin,American,Male
Untitled Exhibition,12/5/1969,http://www.moma.org/calendar/exhibitions/2700,Howardena Pindell,American,Female
The Graphic Constructions of Josef Albers,12/8/1969,http://www.moma.org/calendar/exhibitions/2699,Riva Castleman,American,Female
Sherman's Campaign: Photographs by George N. Barnard,1/27/1970,http://www.moma.org/calendar/exhibitions/2697,John Szarkowski,American,Male
Joan Miró: Fifty Recent Prints,3/9/1970,http://www.moma.org/calendar/exhibitions/2696,Riva Castleman,American,Female
Frank Stella,3/24/1970,http://www.moma.org/calendar/exhibitions/1945,William S. Rubin,American,Male
Photography: New Acquisitions,4/16/1970,http://www.moma.org/calendar/exhibitions/2693,John Szarkowski,American,Male
"Pop Art Prints, Drawings, and Multiples",5/23/1970,http://www.moma.org/calendar/exhibitions/1844,Howardena Pindell,American,Female
Protest Photographs,5/23/1970,http://www.moma.org/calendar/exhibitions/2691,John Szarkowski,American,Male
Recent Acquisitions V,6/5/1970,http://www.moma.org/calendar/exhibitions/2690,William S. Rubin,American,Male
Photo Eye of the 20s,6/4/1970,http://www.moma.org/calendar/exhibitions/2689,Beaumont Newhall,American,Male
Archipenko: The Parisian Years,7/20/1970,http://www.moma.org/calendar/exhibitions/2685,William S. Lieberman,American,Male
East 100th Street: Photographs by Bruce Davidson,9/22/1970,http://www.moma.org/calendar/exhibitions/2682,John Szarkowski,American,Male
"Work in Progress: Architecture by Philip Johnson, Kevin Roche, Paul Rudolph",10/2/1970,http://www.moma.org/calendar/exhibitions/2681,Arthur Drexler,American,Male
Picasso: Master Printmaker,10/15/1970,http://www.moma.org/calendar/exhibitions/1837,Riva Castleman,American,Female
Salvation Army Reception Exhibition,11/5/1970,http://www.moma.org/calendar/exhibitions/3529,David Annesley,British,Male
Painters for the Theatre,11/12/1970,http://www.moma.org/calendar/exhibitions/3528,William S. Lieberman,American,Male
E.J. Bellocq: Storyville Portraits,11/19/1970,http://www.moma.org/calendar/exhibitions/2678,John Szarkowski,American,Male
The Nude: Thirty 20th-Century Drawings,11/10/1970,http://www.moma.org/calendar/exhibitions/2677,William S. Lieberman,American,Male
Berenice Abbott,12/10/1970,http://www.moma.org/calendar/exhibitions/2675,John Szarkowski,American,Male
Four Americans in Paris: The Collections of Gertrude Stein and her Family,12/19/1970,http://www.moma.org/calendar/exhibitions/1960,William S. Lieberman,American,Male
Jasper Johns: Lithographs,12/22/1970,http://www.moma.org/calendar/exhibitions/1834,Riva Castleman,American,Female
Walker Evans,1/27/1971,http://www.moma.org/calendar/exhibitions/2674,John Szarkowski,American,Male
Surrealist Illusion from the Museum Collection,2/11/1971,http://www.moma.org/calendar/exhibitions/1936,William S. Rubin,American,Male
Recent Acquisitions: 20th-Century Pioneers,3/13/1971,http://www.moma.org/calendar/exhibitions/1906,William S. Rubin,American,Male
Will Insley: Ceremonial Space,3/31/1971,http://www.moma.org/calendar/exhibitions/2669,Arthur Drexler,American,Male
Technics and Creativity: Selections from Gemini G.E.L.,5/5/1971,http://www.moma.org/calendar/exhibitions/1852,Riva Castleman,American,Female
Architecture for the Arts: The State University of New York College at Purchase,5/13/1971,http://www.moma.org/calendar/exhibitions/2665,Arthur Drexler,American,Male
Matisse: Six Acquisitions,7/21/1971,http://www.moma.org/calendar/exhibitions/2660,Henri Matisse,French,Male
American Prints from the International Program,11/3/1971,http://www.moma.org/calendar/exhibitions/2650,Josef Albers,American,Male
Education of an Architect: A Point of View,11/13/1971,http://www.moma.org/calendar/exhibitions/2648,Peter Eisenman,American,Male
Le Centre Beaubourg: A Modern Art Museum for Paris,12/23/1971,http://www.moma.org/calendar/exhibitions/2644,Arthur Drexler,American,Male
Seven by de Kooning,12/30/1971,http://www.moma.org/calendar/exhibitions/1727,Riva Castleman,American,Female
Recent Acquisitions X,1/18/1972,http://www.moma.org/calendar/exhibitions/2643,William S. Rubin,American,Male
Gatherings: Photographs by Lee Friedlander,2/1/1972,http://www.moma.org/calendar/exhibitions/2642,John Szarkowski,American,Male
Picasso in the Collection of The Museum of Modern Art,2/3/1972,http://www.moma.org/calendar/exhibitions/1855,William S. Rubin,American,Male
Matisse: Jazz,2/22/1972,http://www.moma.org/calendar/exhibitions/1901,Henri Matisse,French,Male
California Prints,3/1/1972,http://www.moma.org/calendar/exhibitions/1828,Howardena Pindell,American,Female
Atget's Trees,6/7/1972,http://www.moma.org/calendar/exhibitions/2635,John Szarkowski,American,Male
European Drawings from the Collection,6/27/1972,http://www.moma.org/calendar/exhibitions/2633,William S. Lieberman,American,Male
New Acquisitions: Three Mirós,9/30/1972,http://www.moma.org/calendar/exhibitions/2630,William S. Rubin,American,Male
Diane Arbus,11/7/1972,http://www.moma.org/calendar/exhibitions/2551,John Szarkowski,American,Male
Dubuffet: Persons and Places,11/9/1972,http://www.moma.org/calendar/exhibitions/1871,William S. Lieberman,American,Male
Projects: Chuck Close/Liliana Porter,1/11/1973,http://www.moma.org/calendar/exhibitions/2548,Howardena Pindell,American,Female
25 Recent Acquisitions,1/22/1973,http://www.moma.org/calendar/exhibitions/2547,Arthur Drexler,American,Male
From the Picture Press,1/30/1973,http://www.moma.org/calendar/exhibitions/2546,John Szarkowski,American,Male
The Prints of Edvard Munch,2/13/1973,http://www.moma.org/calendar/exhibitions/1725,Riva Castleman,American,Female
Prints of the Sixties,3/22/1973,http://www.moma.org/calendar/exhibitions/1849,Riva Castleman,American,Female
"Pablo Picasso, 1881–1973",4/11/1973,http://www.moma.org/calendar/exhibitions/2043,Pablo Picasso,Spanish,Male
Agnes Martin: On a Clear Day,5/14/1973,http://www.moma.org/calendar/exhibitions/2040,Riva Castleman,American,Female
"Drawings from the Kröller-Müller National Museum, Otterlo",5/24/1973,http://www.moma.org/calendar/exhibitions/2541,William S. Lieberman,American,Male
"Jacques Lipchitz, 1891–1973",6/1/1973,http://www.moma.org/calendar/exhibitions/2539,Jacques Lipchitz,American,Male
Another Chance for Housing: Low-Rise Alternatives,6/12/1973,http://www.moma.org/calendar/exhibitions/2538,Arthur Drexler,American,Male
"Recent Acquisitions, 1968–1973",6/15/1973,http://www.moma.org/calendar/exhibitions/1754,Riva Castleman,American,Female
Tapestries by Helena Hernmarck,8/10/1973,http://www.moma.org/calendar/exhibitions/2536,Arthur Drexler,American,Male
Miró in the Collection of The Museum of Modern Art,10/9/1973,http://www.moma.org/calendar/exhibitions/1854,William S. Rubin,American,Male
"Published in Germany, 1923",10/12/1973,http://www.moma.org/calendar/exhibitions/1831,Riva Castleman,American,Female
Unfamiliar Places: A Message from Bill Dane,10/22/1973,http://www.moma.org/calendar/exhibitions/2533,John Szarkowski,American,Male
Giorgio Morandi,11/9/1973,http://www.moma.org/calendar/exhibitions/1848,Riva Castleman,American,Female
Painters for the Theatre: An Invitation to the Theatre Arts Collection,11/19/1973,http://www.moma.org/calendar/exhibitions/1721,William S. Lieberman,American,Male
Architectural Models from the Collection,2/1/1974,http://www.moma.org/calendar/exhibitions/2530,Arthur Drexler,American,Male
Félix Vallotton: Woodcuts of the 1890s,2/15/1974,http://www.moma.org/calendar/exhibitions/1856,Riva Castleman,American,Female
"Adolph Gottlieb, 1903–1974",3/20/1974,http://www.moma.org/calendar/exhibitions/2527,William S. Rubin,American,Male
Louis I. Kahn: 1901–1974,3/22/1974,http://www.moma.org/calendar/exhibitions/2526,Arthur Drexler,American,Male
New Japanese Photography,3/27/1974,http://www.moma.org/calendar/exhibitions/2525,John Szarkowski,American,Male
Recent Acquisition: Painting and Sculpture,3/28/1974,http://www.moma.org/calendar/exhibitions/2524,William S. Rubin,American,Male
"Printed, Cut, Folded, and Torn",5/10/1974,http://www.moma.org/calendar/exhibitions/1850,Howardena Pindell,American,Female
Seurat to Matisse: Drawing in France,6/13/1974,http://www.moma.org/calendar/exhibitions/1895,William S. Lieberman,American,Male
Photographs from the Harvard Social Ethics Collection,6/17/1974,http://www.moma.org/calendar/exhibitions/2519,John Szarkowski,American,Male
German Drawing: The Expressionists,8/30/1974,http://www.moma.org/calendar/exhibitions/2037,William S. Lieberman,American,Male
Arakawa: Recent Prints,9/6/1974,http://www.moma.org/calendar/exhibitions/2515,Riva Castleman,American,Female
Projects: Helen Levitt in Color,9/16/1974,http://www.moma.org/calendar/exhibitions/2512,John Szarkowski,American,Male
American Prints: 1913–1963,12/3/1974,http://www.moma.org/calendar/exhibitions/1832,Riva Castleman,American,Female
Lee Friedlander,12/6/1974,http://www.moma.org/calendar/exhibitions/2504,John Szarkowski,American,Male
Projects: John Walker,12/17/1974,http://www.moma.org/calendar/exhibitions/2503,Howardena Pindell,American,Female
Edward Weston,1/29/1975,http://www.moma.org/calendar/exhibitions/2502,John Szarkowski,American,Male
Josef Koudelka,2/24/1975,http://www.moma.org/calendar/exhibitions/2499,John Szarkowski,American,Male
Points of View,3/7/1975,http://www.moma.org/calendar/exhibitions/1836,Howardena Pindell,American,Female
In the Twenties,3/21/1975,http://www.moma.org/calendar/exhibitions/2036,William S. Lieberman,American,Male
"Walker Evans, 1903–1975",4/14/1975,http://www.moma.org/calendar/exhibitions/2495,Walker Evans,American,Male
Anthony Caro,4/30/1975,http://www.moma.org/calendar/exhibitions/2494,William S. Rubin,American,Male
Irving Penn: Recent Works,5/19/1975,http://www.moma.org/calendar/exhibitions/2491,John Szarkowski,American,Male
Prints by Sculptors,5/21/1975,http://www.moma.org/calendar/exhibitions/2490,Riva Castleman,American,Female
"Barbara Hepworth, , 1903-1975",5/23/1975,http://www.moma.org/calendar/exhibitions/2489,Barbara Hepworth,British,Female
Tinguely: La Vittoria,6/26/1975,http://www.moma.org/calendar/exhibitions/2487,Riva Castleman,American,Female
A Jacques Villon Centennial,7/8/1975,http://www.moma.org/calendar/exhibitions/1843,William S. Lieberman,American,Male
Modern Masters: Manet to Matisse,8/5/1975,http://www.moma.org/calendar/exhibitions/1894,William S. Lieberman,American,Male
Drawings: Recent Gifts,9/5/1975,http://www.moma.org/calendar/exhibitions/2035,William S. Lieberman,American,Male
Printsequence,10/3/1975,http://www.moma.org/calendar/exhibitions/1865,Riva Castleman,American,Female
The Architecture of the École des Beaux-Arts,10/29/1975,http://www.moma.org/calendar/exhibitions/2483,Arthur Drexler,American,Male
New Prints: Robert Ryman and Richard Smith,11/6/1975,http://www.moma.org/calendar/exhibitions/2481,Riva Castleman,American,Female
"Eugene Buechel, S.J.: Rosebud and Pine Ridge Photographs, 1922–1942",11/20/1975,http://www.moma.org/calendar/exhibitions/2480,David Wing,American,Male
A Museum Menagerie,12/9/1975,http://www.moma.org/calendar/exhibitions/3393,William S. Lieberman,American,Male
Cubism and Its Affinities,2/9/1976,http://www.moma.org/calendar/exhibitions/1824,William S. Lieberman,American,Male
Photography for Collectors,3/16/1976,http://www.moma.org/calendar/exhibitions/2471,John Szarkowski,American,Male
Posters from the Collection,3/26/1976,http://www.moma.org/calendar/exhibitions/2469,Arthur Drexler,American,Male
"Josef Albers, 1888–1976",3/26/1976,http://www.moma.org/calendar/exhibitions/2468,Josef Albers,American,Male
"Max Ernst, 1891–1976",4/2/1976,http://www.moma.org/calendar/exhibitions/2464,Max Ernst,French,Male
"Paul Strand, 1890–1976",4/13/1976,http://www.moma.org/calendar/exhibitions/2465,Paul Strand,American,Male
"Mark Tobey, 1890–1976",4/27/1976,http://www.moma.org/calendar/exhibitions/2463,Mark Tobey,American,Male
Narrative Prints,5/14/1976,http://www.moma.org/calendar/exhibitions/1821,Howardena Pindell,American,Female
Prints from the Collection,5/14/1976,http://www.moma.org/calendar/exhibitions/2704,Josef Albers,American,Male
Photographs by William Eggleston,5/24/1976,http://www.moma.org/calendar/exhibitions/2079,John Szarkowski,American,Male
Painting and Sculpture Collection,5/28/1976,http://www.moma.org/calendar/exhibitions/2022,Helen Frankenthaler,American,Female
André Masson,6/2/1976,http://www.moma.org/calendar/exhibitions/2000,William S. Rubin,American,Male
Some American Drawings: Recent Acquisitions,7/19/1976,http://www.moma.org/calendar/exhibitions/2075,William S. Lieberman,American,Male
Longer Views: 40 Photographs by Nick Nixon,7/22/1976,http://www.moma.org/calendar/exhibitions/2458,John Szarkowski,American,Male
Between World Wars: Drawing in Europe and America,8/20/1976,http://www.moma.org/calendar/exhibitions/1891,William S. Lieberman,American,Male
Reinstallation of the Painting and Sculpture Collection,9/3/1976,http://www.moma.org/calendar/exhibitions/1961,Sam Francis,American,Male
New Glory: New Designs for Flags,9/11/1976,http://www.moma.org/calendar/exhibitions/2456,Arthur Drexler,American,Male
Projects: Charles Simonds and Mary Miss,10/14/1976,http://www.moma.org/calendar/exhibitions/2450,Howardena Pindell,American,Female
"Alexander Calder, 1898–1976",11/11/1976,http://www.moma.org/calendar/exhibitions/2449,Alexander Calder,American,Male
"Man Ray, 1890–1976",11/18/1976,http://www.moma.org/calendar/exhibitions/1970,Man Ray,American,Male
"Prints: Acquisitions, 1973–1976",11/23/1976,http://www.moma.org/calendar/exhibitions/1753,Riva Castleman,American,Female
Harry Callahan,12/2/1976,http://www.moma.org/calendar/exhibitions/2447,John Szarkowski,American,Male
European Master Paintings from Swiss Collections: Post-Impressionism to World War II,12/17/1976,http://www.moma.org/calendar/exhibitions/2445,William S. Rubin,American,Male
Tina Modotti,1/10/1977,http://www.moma.org/calendar/exhibitions/1977,John Szarkowski,American,Male
Fred Williams: Landscapes of a Continent,3/10/1977,http://www.moma.org/calendar/exhibitions/2033,William S. Lieberman,American,Male
Wall Hangings: The New Classicism,4/8/1977,http://www.moma.org/calendar/exhibitions/2391,Arthur Drexler,American,Male
Courthouse,4/12/1977,http://www.moma.org/calendar/exhibitions/2389,John Szarkowski,American,Male
Extraordinary Men,6/2/1977,http://www.moma.org/calendar/exhibitions/1974,William S. Lieberman,American,Male
Impresario: Ambroise Vollard,6/6/1977,http://www.moma.org/calendar/exhibitions/1839,Riva Castleman,American,Female
Photographs by Chauncey Hare,7/18/1977,http://www.moma.org/calendar/exhibitions/1976,John Szarkowski,American,Male
Extraordinary Women,7/22/1977,http://www.moma.org/calendar/exhibitions/1975,William S. Lieberman,American,Male
"Naum Gabo, 1890–1977",8/26/1977,http://www.moma.org/calendar/exhibitions/2378,Naum Gabo,American,Male
"Abstraction-Création, Art Non-Figuratif",9/20/1977,http://www.moma.org/calendar/exhibitions/1752,Howardena Pindell,American,Female
American Drawn and Matched,9/20/1977,http://www.moma.org/calendar/exhibitions/2376,William S. Lieberman,American,Male
Impressions,9/23/1977,http://www.moma.org/calendar/exhibitions/1835,Riva Castleman,American,Female
Herbert Bayer: Photographic Works,10/31/1977,http://www.moma.org/calendar/exhibitions/2371,John Szarkowski,American,Male
Noguchi: The Sculptor as Designer,11/11/1977,http://www.moma.org/calendar/exhibitions/1720,Arthur Drexler,American,Male
Le Corbusier: Architectural Drawings,1/20/1978,http://www.moma.org/calendar/exhibitions/2367,Arthur Drexler,American,Male
New Art for the New Year,2/13/1977,http://www.moma.org/calendar/exhibitions/3585,Ei Arakawa,Japanese,Male
Reinstallation of the Auditorium Gallery,2/23/1978,http://www.moma.org/calendar/exhibitions/2360,Howardena Pindell,American,Female
Mexican Art,3/16/1978,http://www.moma.org/calendar/exhibitions/1845,William S. Lieberman,American,Male
Nine Windows by Chagall,4/13/1978,http://www.moma.org/calendar/exhibitions/2356,William S. Lieberman,American,Male
Art for Corporations,4/17/1978,http://www.moma.org/calendar/exhibitions/3586,Berenice Abbott,American,Female
Richard Lindner: 1901–1978,4/18/1978,http://www.moma.org/calendar/exhibitions/1972,Richard Lindner,American,Male
A Treasury of Modern Drawing: The Joan and Lester Avnet Collection,4/28/1978,http://www.moma.org/calendar/exhibitions/2355,William S. Lieberman,American,Male
Jim Dine's Etchings,6/6/1978,http://www.moma.org/calendar/exhibitions/1817,Riva Castleman,American,Female
Artists and Writers,7/10/1978,http://www.moma.org/calendar/exhibitions/1868,William S. Lieberman,American,Male
Mirrors and Windows: American Photography Since 1960,7/26/1978,http://www.moma.org/calendar/exhibitions/2347,John Szarkowski,American,Male
Art Sinsabaugh: Landscapes,8/7/1978,http://www.moma.org/calendar/exhibitions/2345,John Szarkowski,American,Male
New York/New York,9/11/1978,http://www.moma.org/calendar/exhibitions/3588,Berenice Abbott,American,Female
Projects: Hamish Fulton,10/3/1978,http://www.moma.org/calendar/exhibitions/2335,Howardena Pindell,American,Female
W. Eugene Smith Memorial,10/27/1978,http://www.moma.org/calendar/exhibitions/3156,W. Eugene Smith,American,Male
Grain Elevators: Photographs by Frank Gohlke,11/7/1978,http://www.moma.org/calendar/exhibitions/2329,John Szarkowski,American,Male
Painting and Sculpture Collection: Reinstallation of the East Wing,11/16/1978,http://www.moma.org/calendar/exhibitions/2708,Jo Baer,American,Female
Recent Acquisitions: American Prints,11/16/1978,http://www.moma.org/calendar/exhibitions/1857,Riva Castleman,American,Female
Paperworks by Ellsworth Kelly,11/30/1978,http://www.moma.org/calendar/exhibitions/2327,Riva Castleman,American,Female
Paul Klee Centennial: Prints and Transfer Drawings,1/8/1979,http://www.moma.org/calendar/exhibitions/1825,Howardena Pindell,American,Female
Prairie: Photographs by Robert Adams,2/9/1979,http://www.moma.org/calendar/exhibitions/2322,John Szarkowski,American,Male
Transformations in Modern Architecture,2/21/1979,http://www.moma.org/calendar/exhibitions/1773,Arthur Drexler,American,Male
Frank Stella: The Indian Bird Maquettes,3/12/1979,http://www.moma.org/calendar/exhibitions/2307,William S. Rubin,American,Male
Thirty Sculptors' Drawings,5/18/1979,http://www.moma.org/calendar/exhibitions/2028,William S. Lieberman,American,Male
Projects: Video XXVII,5/18/1979,http://www.moma.org/calendar/exhibitions/2297,Lynda Benglis,American,Female
Architectural Projects by Roger Ferri and Allan Greenberg,6/2/1979,http://www.moma.org/calendar/exhibitions/1771,Arthur Drexler,American,Male
Gifts of Drawing,8/9/1979,http://www.moma.org/calendar/exhibitions/2001,William S. Lieberman,American,Male
Ansel Adams and the West,9/5/1979,http://www.moma.org/calendar/exhibitions/2292,John Szarkowski,American,Male
People Watching,10/1/1979,http://www.moma.org/calendar/exhibitions/3592,Berenice Abbott,American,Female
Liberty State Park: The Master Plan,10/12/1979,http://www.moma.org/calendar/exhibitions/2290,Arthur Drexler,American,Male
